Country,pca1,pca2
0,Australia,-2.856578419578943,-2.0631334356105877
1,Austria,-2.0069601452621404,-0.17867037405518596
2,Belgium,-1.1178673068912341,-2.035810594271416
3,Brazil,3.4608935624380286,-2.665959171157764
4,Canada,-2.314400591266115,-0.4176537592258783
5,Chile,3.9482328077174635,0.6554374020907623
6,Colombia,6.391503610520816,-1.2638387016419066
7,Costa Rica,2.8915979234388427,-2.3948810492074464
8,Czech Republic,-1.3829250692856312,1.888861942226923
9,Denmark,-2.752599370035918,0.25599535740911084
10,Estonia,-0.9461287109238439,1.1606697681163942
11,Finland,-2.811296061546995,0.7198433323351965
12,France,-0.5124360960972507,1.4186980759977839
13,Germany,-2.411200052031066,-0.7635211827823641
14,Greece,3.1215797482850545,-0.5290591846554632
15,Hungary,0.8884070760848505,1.2923929411464854
16,Iceland,-3.4710050816997695,-2.0839481788318186
17,Ireland,-1.3410183730816845,-0.13613790211734253
18,Israel,0.49918705173043293,-0.06427610641549747
19,Italy,0.9491058052077075,-1.080585746686073
20,Japan,-0.5265453893628023,4.504439866324633
21,Korea,0.3940923535582543,1.0184616048699784
22,Latvia,1.0355753395883562,3.0092574810134067
23,Lithuania,0.694389355568403,2.4219110466901883
24,Luxembourg,-2.387251514753675,-3.017004427264117
25,Mexico,6.634619038966578,-0.4348385539098116
26,Netherlands,-2.1476010655656332,-0.4420331946408123
27,New Zealand,-2.7316350436380525,-1.644139169681942
28,Norway,-3.3066047855135645,-0.3637904957250217
29,Poland,-0.31129970466800827,1.1421352419548279
30,Portugal,0.6170502320263669,1.549603588022013
31,Russia,2.5371218005710507,2.6304607221082885
32,Slovak Republic,0.8106024816240031,2.0015086787726166
33,Slovenia,-1.561021065925579,1.6279499072916184
34,South Africa,9.224027455922979,-0.8889842950455255
35,Spain,-0.42919263158700005,-0.7075650796826647
36,Sweden,-2.990996405260621,-0.6539716301573979
37,Switzerland,-3.033314308973014,0.7385848894785688
38,Türkiye,3.1967546414317725,-1.8752113363426532
39,United Kingdom,-1.104462011901144,-0.5607546738326789
40,United States,-2.8404010798312695,-1.7704436029074293
